Source ID,Title,Publisher,Author,Publication date,Access date,URL,Source type,Primary / Secondary / Tertiary,Company / Industry / Macro,Relevant topic,Claims supported,Page or section,Potential bias,Confidence level,Notes
S13,Now Assist,ServiceNow,ServiceNow,2026-03-12,2026-07-29,https://www.servicenow.com/docs/r/intelligent-experiences/platform-now-assist-landing.html,Product documentation,Primary,Company,Product capability,"Now Assist tiers; skills; agentic workflows; monitoring",Product overview,Vendor product claims,Medium,Capability treated as documented availability not adoption
S14,IT Service Management Pricing,ServiceNow,ServiceNow,Not stated,2026-07-29,https://www.servicenow.com/products/itsm/pricing.html,Pricing page,Primary,Company,Pricing and packaging,"Foundation/Advanced/Prime packaging; AI Agents and Now Assist inclusion",Plan comparison,Vendor-controlled and quote-based pricing,Medium,Automated archive returned HTTP 403; browser evidence retained
S15,Now Assist Suite Release Notes April 9 2026,ServiceNow,ServiceNow,2026-04-09,2026-07-29,https://www.servicenow.com/docs/r/store-release-notes/na-suite-rn-2026-04-09.html,Release notes,Primary,Company,Pricing transition,"AI-native tiers; action-based pricing example",Release notes,Vendor-controlled release notes,High,Documents shift from pure seat packaging toward action pricing
S16,GitLab Announces General Availability of GitLab Duo Agent Platform,GitLab,GitLab,2026-01-15,2026-07-29,https://about.gitlab.com/press/releases/2026-01-15-gitlab-announces-duo-agent-platform-general-availability/,Product release,Primary,Company,Agent platform and pricing,"GA status; availability; included credits; usage pricing",Pricing; availability,Vendor marketing,Medium,Product status is FACT; productivity claims are COMPANY CLAIM
S17,GitLab Credits and Usage Billing,GitLab,GitLab,2026-02-10,2026-07-29,https://docs.gitlab.com/subscriptions/gitlab_credits/,Product / billing documentation,Primary,Company,Consumption pricing,"Standardized credit currency; usage actions; subscription scope",Billing documentation,Vendor-controlled,High,Direct evidence of seat-plus-consumption model
S18,GitLab Duo Agent Platform Documentation,GitLab,GitLab,2026,2026-07-29,https://docs.gitlab.com/user/duo_agent_platform/,Product documentation,Primary,Company,Product capability,"Tier availability; deployment options; model support; history",Overview and history,Vendor-controlled,High,Capability not treated as production adoption
S19,UiPath Plans and Pricing,UiPath,UiPath,Not stated,2026-07-29,https://www.uipath.com/pricing,Pricing page,Primary,Company,Pricing and packaging,"Plans; agent call limits; orchestration; governance; contact-sales pricing",Plan comparison,Vendor-controlled,Medium,Enterprise price is Not disclosed
S20,UiPath Maestro,UiPath,UiPath,Not stated,2026-07-29,https://www.uipath.com/product/maestro,Product page,Primary,Company,Orchestration and execution,"BPMN orchestration of agents robots and people; governance; examples",Product overview and FAQ,Vendor marketing and selected case studies,Medium,Capabilities are COMPANY CLAIM unless independently verified
S21,Maestro Licensing,UiPath,UiPath,2026,2026-07-29,https://docs.uipath.com/maestro/automation-cloud/latest/user-guide/licensing-information,Licensing documentation,Primary,Company,Consumption model,"Platform user and consumption licenses; task-type consumables",License types,Vendor-controlled,High,Direct evidence of hybrid subscription/consumption model
S22,Copilot Studio Pricing,Microsoft,Microsoft,Not stated,2026-07-29,https://www.microsoft.com/en-us/microsoft-365-copilot/pricing/copilot-studio,Pricing page,Primary,Company,Pricing and distribution,"$30 user/month M365 Copilot; prepaid and pay-as-you-go credits; internal agents",Plan comparison,Vendor-controlled,High,Price captured on access date
S23,Palo Alto Networks Completes Acquisition of CyberArk,Palo Alto Networks,Palo Alto Networks,2026-02-11,2026-07-29,https://investors.paloaltonetworks.com/news-releases/news-release-details/palo-alto-networks-completes-acquisition-cyberark-secure--ai-era,M&A release,Primary,Company,Identity security consolidation,"Acquisition completion; CyberArk no longer standalone public candidate",Release,Acquirer strategic framing,High,Explains CYBR market-data gap
S24,Palo Alto Networks Form 8-K February 11 2026,SEC / Palo Alto Networks,Palo Alto Networks,2026-02-11,2026-07-29,https://www.sec.gov/Archives/edgar/data/1327567/000119312526045600/d40626d8k.htm,8-K,Primary,Company,M&A confirmation,"CyberArk acquisition closing and merger terms",Item 1.01 / exhibits,Issuer disclosure,High,Independent regulatory confirmation of S23
S25,The 2026 AI Index Report - Economy,Stanford HAI,Stanford HAI,2026,2026-07-29,https://hai.stanford.edu/ai-index/2026-ai-index-report/economy,Research report,Secondary,Macro,Enterprise adoption and productivity,"AI adoption; GenAI adoption; agent deployment; productivity study summary",Economy chapter,Aggregation and survey-method differences,Medium,Separates broad AI use from low single-digit functional agent deployment
S26,2025 The State of Generative AI in the Enterprise,Menlo Ventures,Menlo Ventures,2025-12-09,2026-07-29,https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/,Survey / market model,Secondary,Industry,Enterprise spending and production,"Survey of 495 decision-makers; application-layer spending; production conversion",Methodology and key findings,VC portfolio exposure and modeled market size,Medium,THIRD-PARTY ESTIMATE; not used as sole evidence
S27,Anthropic Economic Index - Enterprise AI Adoption,Anthropic,Anthropic,2025-09,2026-07-29,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,Usage research,Secondary,Industry,Enterprise API use,"77% automation pattern in sampled 1P API use; coding concentration",Chapter 3,Single-vendor usage sample,Medium,Useful behavioral evidence with sampling bias disclosed
S28,Anthropic Economic Index - Cadences,Anthropic,Anthropic,2026-06-26,2026-07-29,https://www.anthropic.com/research/economic-index-june-2026-report,Usage research,Secondary,Technology,Long-running agent tasks,"Shift from conversations to long-running Claude Code/Cowork tasks; methodology",Introduction and appendix,Single-vendor usage sample,Medium,Supports direction not market share
S29,Accelerating Adoption of Software and AI Agent Identity and Authorization,NIST NCCoE,NIST,2026-02-05,2026-07-29,https://www.nccoe.nist.gov/sites/default/files/2026-02/accelerating-the-adoption-of-software-and-ai-agent-identity-and-authorization-concept-paper.pdf,Concept paper,Secondary,Industry,Identity and governance,"Need for agent identification authorization auditing and non-repudiation",Concept paper,Pre-standard concept stage,High,Government source; not a commercial demand forecast
S30,Summary Analysis of Responses on Security Considerations for AI Agents,NIST CAISI,Riggs et al.,2026-05-18,2026-07-29,https://www.nist.gov/publications/summary-analysis-responses-request-information-regarding-security-considerations-ai,Government research,Secondary,Industry,Agent security,"Novel security risks; security as adoption barrier; existing controls require adaptation",Abstract and findings,RFI response selection bias,High,Corroborates governance-control-point thesis
S31,Yahoo Finance Historical Chart API,Yahoo Finance,Yahoo Finance,2026-07-28,2026-07-29,https://query1.finance.yahoo.com/v8/finance/chart/,Market data,Tertiary,Company,Share prices,"Latest available close on or before cut-off date; currency; exchange",Daily close,Vendor data feed and corporate-action adjustment risk,Medium,ServiceNow five-for-one split cross-checked against S01
S32,Microsoft FY2026 Q3 Earnings Conference Call,Microsoft Investor Relations,Microsoft,2026-04-29,2026-07-29,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,Earnings call transcript,Primary,Macro,AI infrastructure capex,"Calendar 2026 capex approximately $190bn; Q3 capex $31.9bn; two-thirds short-lived assets",CFO prepared remarks,Forward-looking guidance and capex definition includes finance leases,High,Used with explicit definition caveat
S33,Alphabet 2025 Q4 Earnings Call,Alphabet Investor Relations,Alphabet,2026-02-04,2026-07-29,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,Earnings call transcript,Primary,Macro,AI infrastructure capex,"2026 capex range $175–185bn; 2025 reported capex $91.4bn",CFO prepared remarks,Forward-looking guidance and supply/timing uncertainty,High,Midpoint used only in explicitly labeled guidance chart
S34,Amazon Q4 2025 Results,Amazon Investor Relations,Amazon,2026-02-05,2026-07-29,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx,Earnings release,Primary,Macro,AI infrastructure capex,"2026 capex approximately $200bn; 2025 PP&E purchases $131.8bn",Full-year results and CEO quote,Forward-looking guidance includes non-AI investments,High,Used with explicit definition caveat

